CHROM	MINBP	MAXBP	GENE
22	17084954	17115693	IL17RA
22	17137511	17165287	HDHD5
22	17563450	17590995	SLC25A18
22	17592136	17628749	ATP6V1E1
22	17628855	17730855	BCL2L13
22	17734138	17774770	BID
22	17787649	18024561	MICAL3
22	18077923	18105396	PEX26
22	18150118	18177397	USP18
22	18527802	18530573	TMEM191B
22	18906028	18914238	DGCR6
22	19036282	19122454	DGCR2
22	19175581	19178739	SLC25A1
22	19179473	19291719	CLTCL1
22	19330698	19447450	HIRA
22	19351368	19447711	C22orf39
22	19432545	19436075	MRPL40
22	19479457	19520612	CDC45
22	19523024	19527545	CLDN5
22	19783223	19854939	GNB1L
22	19875517	19941820	TXNRD2
22	19941371	19969975	COMT
22	19969896	20016823	ARVCF
22	20017014	20067164	TANGO2
22	20080221	20111877	DGCR8
22	20111875	20117392	TRMT2A
22	20115938	20127355	RANBP1
22	20129456	20148007	ZDHHC8
22	20241415	20283246	RTN4R
22	20314238	20320080	DGCR6L
22	20394115	20408461	ZNF74
22	20424584	20437826	SCARF2
22	20441519	20495844	KLHL22
22	20495913	20587632	MED15
22	20707691	20859417	PI4KA
22	20859007	20891214	SNAP29
22	20917407	20953747	CRKL
22	20965108	20981360	AIFM3
22	20982269	20999032	LZTR1
22	20999104	21002196	THAP7
22	21417371	21451463	HIC2
22	21466423	21471269	TMEM191C
22	21549447	21624034	UBE2L3
22	21628089	21630064	YDJC
22	21632716	21637329	CCDC116
22	21642302	21644299	SDF2L1
22	21666000	21700015	PPIL2
22	21697536	21735794	YPEL1
22	21759657	21867680	MAPK1
22	21919425	21952848	PPM1F
22	21957025	21982813	TOP3B
22	22484421	22508742	ZNF280B
22	23059415	23145021	RSPH14
22	23070519	23125032	GNAZ
22	23145366	23165663	RAB36
22	23179704	23318037	BCR
22	23608452	23632321	DRICH1
22	23688136	23699176	RGL4
22	23738682	23751112	ZNF70
22	23752743	23754425	VPREB3
22	23765834	23767972	CHCHD10
22	23768226	23784316	MMP11
22	23786931	23838009	SMARCB1
22	23834503	23839128	DERL3
22	23856703	23886312	SLC2A11
22	23966888	23972556	DDTL
22	23970542	23980525	DDT
22	24011192	24178628	CABIN1
22	24181487	24189106	SUSD2
22	24219654	24245108	GGT5
22	24270817	24417739	SPECC1L
22	24417879	24442357	ADORA2A
22	24494107	24528390	UPB1
22	24540423	24555935	GUCD1
22	24555958	24582052	SNRPD3
22	24585620	24593208	LRRC75B
22	24594811	24629005	GGT1
22	24806169	24927578	SGSM1
22	24952716	25197448	KIAA1671
22	25564675	25729294	GRK3
22	25742144	26031045	MYO18B
22	26169462	26383597	SEZ6L
22	26429260	26445015	ASPHD2
22	26443107	26483931	HPS4
22	26483877	26494658	SRRD
22	26491225	26512505	TFIP11
22	26521996	26596717	TPST2
22	27748277	27801756	MN1
22	27851669	27920134	PITPNB
22	27978014	28679840	TTC28
22	28687743	28742422	CHEK2
22	28742039	28757515	HSCB
22	28772674	28789301	CCDC117
22	28794555	28800597	XBP1
22	28883572	29057488	ZNRF3
22	29073035	29168333	KREMEN1
22	29205896	29259597	EMID1
22	29259872	29268209	RHBDD3
22	29268009	29300525	EWSR1
22	29306618	29312787	GAS2L1
22	29312933	29319679	RASL10A
22	29327680	29388583	AP1B1
22	29480218	29491390	NEFH
22	29505879	29555216	THOC5
22	29554808	29581327	NIPSNAP1
22	29603556	29698598	NF2
22	29720003	29731833	CABP7
22	29730956	29767011	ZMAT5
22	29767369	29770413	UQCR10
22	29788609	29838304	ASCC2
22	29883169	30030868	MTMR3
22	30240453	30246759	LIF
22	30262829	30266851	OSM
22	30291990	30326947	TBC1D10A
22	30331988	30356919	SF3A1
22	30356635	30378673	CCDC157
22	30368811	30421771	RNF215
22	30396941	30425303	SEC14L2
22	30425623	30429054	MTFP1
22	30488902	30505711	SEC14L4
22	30576625	30607083	PES1
22	30607003	30627271	TCN2
22	30635781	30669016	SLC35E4
22	30652051	30667887	DUSP18
22	30693782	30907824	OSBP2
22	30925130	30968774	MORC2
22	30969245	30979395	TUG1
22	31064105	31104757	SMTN
22	31104772	31120069	SELENOM
22	31122731	31134697	INPP5J
22	31160182	31207019	RNF185
22	31212239	31280080	LIMK2
22	31281594	31292534	PIK3IP1
22	31325804	31346346	PATZ1
22	31399604	31530634	DRG1
22	31436977	31496108	EIF4ENIF1
22	31488688	31618588	SFI1
22	31618491	31662221	PISD
22	31676256	31750140	PRR14L
22	31753867	31908033	DEPDC5
22	31944522	31957603	YWHAH
22	32190435	32205073	RFPL2
22	32387582	32412248	RTCB
22	32474676	32498829	FBXO7
22	32801705	32863041	TIMP3
22	33162226	33922841	LARGE1
22	35257452	35295807	HMGXB4
22	35299275	35347992	TOM1
22	35380361	35394214	HMOX1
22	35400134	35425431	MCM5
22	35606764	35637951	MB
