CHROM	MINBP	MAXBP	GENE	mean_log2_expr	sd_log2_expr
22	17084954	17115693	IL17RA	13.9583531506711	1.34396278682429
22	17137511	17165287	HDHD5	9.24398484291246	0.891842323522085
22	17563450	17590995	SLC25A18	3.85262149484643	1.29871218227447
22	17592136	17628749	ATP6V1E1	12.0880288076405	0.825322746335565
22	17628855	17730855	BCL2L13	10.1620142624535	0.636709788325916
22	17734138	17774770	BID	11.8052902514129	1.10530559104696
22	17787649	18024561	MICAL3	9.15280347194706	1.03021266344594
22	18077923	18105396	PEX26	9.66159351191563	0.876471129056033
22	18150118	18177397	USP18	4.92599872859151	1.66937291220901
22	18527802	18530573	TMEM191B	3.67629936806023	1.28984860516229
22	18906028	18914238	DGCR6	5.20113024379606	1.15745492104512
22	19036282	19122454	DGCR2	12.0401810911473	1.33417900538417
22	19175581	19178739	SLC25A1	10.1019967572526	0.860625489791752
22	19179473	19291719	CLTCL1	8.97692875929076	1.09422303288406
22	19330698	19447450	HIRA	8.93053440707622	0.821617043178051
22	19351368	19447711	C22orf39	9.34795788688749	0.799504130558486
22	19432545	19436075	MRPL40	7.77601872337142	0.889094217856449
22	19479457	19520612	CDC45	5.69329986104151	1.74178944346701
22	19523024	19527545	CLDN5	7.74039622047379	1.13204781684569
22	19783223	19854939	GNB1L	7.34483774503912	0.918331523315392
22	19875517	19941820	TXNRD2	9.73068630519188	0.734635912268407
22	19941371	19969975	COMT	10.3943479697704	0.777198606935986
22	19969896	20016823	ARVCF	7.1433698805233	1.37958795425308
22	20017014	20067164	TANGO2	10.8214141320043	0.658791905706163
22	20080221	20111877	DGCR8	8.56691728173764	0.817882280906622
22	20111875	20117392	TRMT2A	9.95922848343808	0.863058001432719
22	20115938	20127355	RANBP1	9.42092818979159	0.859555307741507
22	20129456	20148007	ZDHHC8	9.72713244072428	0.96458499448374
22	20241415	20283246	RTN4R	4.92509045351017	1.314612568903
22	20314238	20320080	DGCR6L	9.35900606702699	0.91833174213772
22	20394115	20408461	ZNF74	7.23175903101435	1.02490140230297
22	20424584	20437826	SCARF2	6.1697445379014	1.07152730038285
22	20441519	20495844	KLHL22	9.23552447215143	0.912727220003491
22	20495913	20587632	MED15	12.529068581043	0.789481822784199
22	20707691	20859417	PI4KA	11.588162991721	0.853371139578763
22	20859007	20891214	SNAP29	10.0977438823756	0.924930986250458
22	20917407	20953747	CRKL	11.4188369756918	0.873759354898483
22	20965108	20981360	AIFM3	6.62062066108449	1.08161470377995
22	20982269	20999032	LZTR1	10.7393972007965	0.881906172432582
22	20999104	21002196	THAP7	8.3590933179449	0.955164442591807
22	21417371	21451463	HIC2	7.6449030459989	0.906541972808647
22	21466423	21471269	TMEM191C	4.29241727139487	1.17341768358728
22	21549447	21624034	UBE2L3	11.2774256818392	0.884048376615363
22	21628089	21630064	YDJC	9.00530266734284	0.911618852248433
22	21632716	21637329	CCDC116	3.33652423457989	1.15966636586411
22	21642302	21644299	SDF2L1	9.10195922487346	0.922709922188534
22	21666000	21700015	PPIL2	10.0691896445681	0.851394590780032
22	21697536	21735794	YPEL1	7.04298301184263	1.23580314177072
22	21759657	21867680	MAPK1	13.0229384499021	1.03640897170852
22	21919425	21952848	PPM1F	12.3496668531266	1.58226956435432
22	21957025	21982813	TOP3B	3.86196235248062	1.09183673705883
22	22484421	22508742	ZNF280B	3.68017869397984	1.34585280840624
22	23059415	23145021	RSPH14	5.12295279303915	1.88354274191
22	23070519	23125032	GNAZ	7.22877675454149	1.12685684745417
22	23145366	23165663	RAB36	7.03938599745945	2.27192736850712
22	23179704	23318037	BCR	11.2638160570916	0.952231045318955
22	23608452	23632321	DRICH1	5.30745624623173	1.25097003471439
22	23688136	23699176	RGL4	11.768707198643	1.3240826361005
22	23738682	23751112	ZNF70	5.6345927950809	1.10977151244919
22	23752743	23754425	VPREB3	6.46360319790899	1.65015533712443
22	23765834	23767972	CHCHD10	8.4782896195047	1.00472823024387
22	23768226	23784316	MMP11	4.53661265766011	1.44372526223377
22	23786931	23838009	SMARCB1	10.2739807582103	0.822091355488569
22	23834503	23839128	DERL3	7.88236470813785	1.35510399655549
22	23856703	23886312	SLC2A11	7.09037952283545	1.00594332196691
22	23966888	23972556	DDTL	6.80941726528596	0.877934959368795
22	23970542	23980525	DDT	8.68202512627911	0.914651849875908
22	24011192	24178628	CABIN1	11.9042019558425	1.00740251338125
22	24181487	24189106	SUSD2	4.91962427679609	1.16067917800406
22	24219654	24245108	GGT5	5.29832519147731	1.48836879456603
22	24270817	24417739	SPECC1L	9.96230346178426	0.938826160429519
22	24417879	24442357	ADORA2A	11.3654845809315	1.01103200021966
22	24494107	24528390	UPB1	7.71319433086562	1.29025195874843
